Number,gene_id,gene_symbol,posColors,negColors,K1,K2,DiffK,ttest,gene,baseMean,log2FoldChange,lfcMLE,lfcSE,stat,pvalue,padj
14267,SUCLG2P2,SUCLG2P2,grey,blue,0.118381656,0.122623,-0.004241344,0.352800895,SUCLG2P2,24.7540317400809,-0.0344486836667205,-0.0386741317551654,0.129165987912113,-0.266700887931582,0.78969947020379,0.945027538108569
14268,SUCO,SUCO,green,blue,0.134198791,0.070959344,0.063239447,-0.699228827,SUCO,348.699809924923,0.122861316711183,0.135725099330235,0.121230080579896,1.01345570442158,0.310842543695886,0.710692215977521
14272,SUGP2,SUGP2,grey,turquoise,0.12388074,0.122836794,0.001043946,-0.745888326,SUGP2,577.621043790453,0.0568105243575997,0.0593276223758395,0.0834206858719822,0.681012434311334,0.495863622591245,0.835678680848148
14278,SULT1A3,SULT1A3,grey,blue,0.124370045,0.043013394,0.081356651,-1.465744149,SULT1A3,21.1727073411955,-0.0193290267694109,-0.0211396016890148,0.115957868180481,-0.166690083844302,0.867613908318711,0.967028184313747
14279,SULT1A4,SULT1A4,grey,blue,0.123969164,0.044288018,0.079681146,-2.011478068,SULT1A4,57.0495573205845,0.148200963372745,0.158624229064833,0.102593723588443,1.44454220189197,0.148586517579517,0.523151814686169
14280,SULT1B1,SULT1B1,grey,grey,0.101651142,0.030431016,0.071220126,-0.960087297,SULT1B1,711.704470507431,0.100673583553051,0.108022231209416,0.104224863455016,0.965926749297228,0.33408083618274,0.728143238972176
14281,SUMF1,SUMF1,grey,blue,0.088000211,0.46829645,-0.380296239,3.082042508,SUMF1,1464.65632526344,-0.2714762498004,-0.283284904607818,0.0827192155666529,-3.28190067979613,0.00103109916403062,0.0200406086354693
14290,SUMO2P17,SUMO2P17,grey,turquoise,0.184913812,0.024061298,0.160852514,-1.046681959,SUMO2P17,113.685790946136,0.0256724932339694,0.0261484624282881,0.055350831749423,0.463814046195195,0.642780978976409,0.897225249019019
14292,SUMO2P3,SUMO2P3,grey,purple,0.145703708,0.025193608,0.1205101,-0.538977362,SUMO2P3,39.4379380778527,0.0205121803446532,0.0211611839143842,0.0713847926660491,0.287346640349757,0.773846913851186,0.94028466190231
14294,SUMO2P7,SUMO2P7,grey,turquoise,0.098381496,0.027615703,0.070765793,-0.520987461,SUMO2P7,3.02426782568153,0.0557351607888538,0.0734319780966002,0.177188769246105,0.314552446105885,0.75310149000799,0.933146945658964
